Nome,ate1930,ate1940,ate1950,ate1960,ate1970,ate1980,ate1990,ate2000,ate2010
DOUGLAS,66,248,717,1658,4568,16487,66416,122242,54105
YASMIM,,,,29,31,75,554,10420,53904
ERICA,480,1101,1667,1905,3252,25085,74770,69982,53814
WESLEY,,30,67,232,1254,7762,30436,64390,53017
TAIS,29,52,160,440,900,6297,32680,110120,51838
EMILY,,,,21,40,191,1292,9111,51583
CARLA,65,174,354,1738,18821,65169,107619,81534,51210
VINICIOS,20,51,102,201,468,1867,10295,33902,51084
ALEX,70,138,294,923,5428,56122,101411,96272,50878
RAIANE,,,,,59,271,3796,47250,50614
ISABELE,24,52,59,56,168,605,2810,12505,50589
RAQUEL,916,1820,3783,8598,20560,48606,83492,69608,49032
RICARDO,868,2219,5600,21042,53924,120439,135954,80848,48809
FABIO,284,1066,1899,6088,24075,133472,236374,96165,48542
EMILI,,,30,39,56,152,989,7678,47953
ITALO,196,533,412,572,1056,1954,9331,34875,47888
LAIS,324,659,967,1301,1416,1773,19979,57129,47813
DANIELE,,26,54,138,944,20733,97823,86842,46942
CAMILE,,,,,23,383,1521,3413,46637
TAINARA,,,,,45,159,2717,45984,46428
BARBARA,679,1135,1579,2903,4247,11377,31817,71187,46418
CLARA,1739,2842,3776,4836,4491,3277,5212,11285,45478
TALITA,154,289,445,554,665,1855,33720,58179,45181
JENIFER,,,,37,109,619,7636,35911,45149
CAROLINA,2658,3300,3532,3135,2358,10644,48037,72720,44837
LORENA,161,685,1909,3068,2997,3309,16592,38867,44722
CAUAN,,,,,,,160,1285,44513
PAMELA,,,21,104,200,738,24494,68840,44174
ENZO,21,44,64,139,188,270,473,2088,44056
JEFERSON,70,163,479,1383,6232,23662,69022,108769,44039
FABRICIO,76,140,223,385,1465,19654,52095,49920,43921
SAMARA,,,40,162,811,3400,17961,45298,42826
ESTER,2020,3340,4864,6914,9366,7827,8785,14536,42726
EVELIN,,35,66,162,381,1104,6204,16698,42094
IAGO,,,,23,40,139,837,31452,41795
INGRID,21,155,393,1009,1110,2368,10579,46063,41261
YURI,,,32,66,366,1163,5615,27532,39871
DANIELA,44,83,144,371,2596,52913,112963,95597,39599
ERICK,,,32,85,282,2292,8721,19540,39541
TAMIRES,,24,31,70,232,608,23106,80436,39200
MARINA,4387,10088,16396,22755,22358,15734,32329,45474,39021
JAQUELINE,50,60,173,570,14565,38994,101992,114241,38470
ERIC,,35,58,156,450,3025,10285,20180,38377
IASMIN,,,,21,21,48,407,7679,38154
OTAVIO,2506,4744,7224,8234,7246,5944,8535,18270,37838
MAICON,,,35,86,266,2587,34780,59678,37695
JEAN,72,207,424,648,3498,23314,31734,62600,37579
FLAVIA,221,431,882,1976,7328,51341,80366,54672,36687
NATAN,25,72,146,280,529,815,2045,18341,35728
MARCELA,92,122,183,414,1866,8210,52672,41376,35456
THAIS,70,103,166,678,993,5891,36116,90295,35308
RENATA,209,385,798,1961,8811,72534,139652,87448,35203
IASMIM,,,,21,24,49,329,6895,35050
ALANA,,,21,107,299,1009,6360,25189,34979
ESTEFANI,,,20,43,73,226,2683,19072,34449
EVERTON,22,70,186,649,2206,8966,51109,51047,33872
ALISSON,,20,37,78,283,4191,15923,41453,33086
ADRIELE,,,,,48,200,5596,27278,33075
EMERSON,56,105,304,964,2852,44890,45792,50072,32900
RYAN,,,,,,83,248,1303,32674
CAIQUE,,,,,32,69,655,17888,32241
EMANUEL,722,1561,2957,4343,6107,6832,12543,16180,32036
MANUELA,495,1360,987,851,668,2529,10848,11527,31966
MAIARA,,,21,60,188,612,13781,66494,31442
KAIQUE,,,,,,59,359,11999,31440
FRANCISCA,27317,50099,91799,114117,130467,115754,100957,63836,31296
GABRIELI,,,,,,141,1359,9955,31262
JAMILE,105,166,161,238,421,1286,9571,19112,31183
JOICE,,65,200,586,1453,4857,32937,56845,31103
ANTONIA,22746,42629,72229,92052,104823,95107,80720,51444,31065
CRISTIAN,,,36,139,512,8340,12709,27676,30742
WILLIAN,59,146,447,1542,3864,11318,39537,58203,30005
MARIANE,32,39,132,353,1149,2370,9991,30127,29828
ALESSANDRA,30,56,99,326,2429,81615,80573,48723,29782
ADRIANO,452,1089,1442,2278,10406,83103,142932,66832,29781
VICTORIA,279,409,250,160,149,203,539,13385,29576
PAULA,1006,1628,2333,3954,9097,31209,79296,64631,29423
DAIANE,20,,24,75,271,3655,89308,122173,29285
ALISON,,,20,68,199,2530,10296,30938,28885
HUGO,728,1806,2506,3552,3845,7277,22243,30739,28535
JUAN,128,280,643,858,945,1504,3155,9810,28412
EMILLY,,,,,,26,324,3623,27856
